"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51","x52","x53","x54","x55","x56","x57","x58","x59","x60","x61","x62","x63","x64","x65","x66","x67","x68","x69","x70","x71","x72","x73","x74","x75","x76","x77","x78","x79","x80","x81","x82","x83","x84","x85","x86","x87","x88","x89","x90","x91","x92","x93","x94","x95","x96","x97","x98","x99","x100","x101","feature","no_nas","color"
272.0,272.0,271.694824219,271.215606689,270.897583008,270.492645264,269.985748291,269.626495361,269.080749512,268.787109375,268.500152588,268.115020752,267.929229736,267.786010742,267.526184082,267.307434082,267.062957764,266.596099854,266.223693848,265.797027588,265.328887939,264.967987061,264.550994873,264.1953125,263.909484863,263.534545898,263.286193848,263.060211182,262.796875,262.40234375,262.193481445,261.93560791,261.853942871,261.682922363,261.36932373,261.231750488,260.969116211,260.581420898,260.349456787,259.972106934,259.663604736,259.432250977,259.010375977,258.717895508,258.605560303,258.178833008,257.950683594,257.695892334,257.362670898,257.163330078,256.91998291,256.587036133,256.560974121,256.252990723,255.844512939,255.634506226,255.249099731,254.917205811,254.487182617,254.024932861,253.608535767,253.414321899,253.130004883,252.815353394,252.51361084,252.093536377,251.843292236,251.685455322,251.437149048,251.338699341,251.178375244,250.917358398,250.917526245,250.615219116,250.273269653,249.943130493,249.547653198,249.145568848,248.827713013,248.430374146,248.116317749,247.851333618,247.371063232,247.098083496,246.716033936,246.270187378,246.140548706,245.967422485,245.715515137,245.707901001,245.449447632,244.969848633,244.760665894,244.238830566,243.851242065,243.584487915,243.176895142,242.741714478,242.389465332,242.01121521,241.688644409,"cable3","102","#4F5150"
212.0,212.0,211.561538696,210.897689819,210.381317139,209.893096924,209.252075195,208.821029663,208.131347656,207.647171021,207.15826416,206.590270996,206.160186768,205.780990601,205.32673645,205.029388428,204.667633057,204.107254028,203.699523926,203.12739563,202.625671387,202.118225098,201.616424561,201.115325928,200.724685669,200.229949951,199.962493896,199.703765869,199.362213135,198.958053589,198.702102661,198.388870239,198.267425537,198.089691162,197.829437256,197.720993042,197.402130127,196.960174561,196.744552612,196.36541748,195.988769531,195.798156738,195.34967041,195.000228882,194.873504639,194.460281372,194.166305542,193.875930786,193.50982666,193.21081543,192.894592285,192.518676758,192.38067627,192.035430908,191.516998291,191.232711792,190.810073853,190.396835327,189.831893921,189.25970459,188.793640137,188.566116333,188.071517944,187.687835693,187.18006897,186.630020142,186.198760986,185.839645386,185.489074707,185.575408936,185.080841064,184.771728516,184.676132202,184.289489746,183.934173584,183.582763672,183.140625,182.590637207,182.017990112,181.471237183,181.017684937,180.487960815,179.925094604,179.705856323,179.385498047,178.789703369,178.513977051,178.350860596,178.159500122,178.151824951,177.767883301,177.283859253,176.920822144,176.235031128,175.763870239,175.503387451,175.184112549,174.623580933,174.004989624,173.515136719,173.249938965,"cable2","102","#353636"
991.0,991.0,990.104797363,989.073242188,988.163513184,987.186035156,986.084594727,985.142883301,984.056762695,983.163635254,982.323364258,981.360290527,980.643249512,979.878967285,979.045410156,978.248352051,977.450500488,976.367248535,975.453491211,974.391845703,973.407165527,972.43737793,971.488891602,970.58581543,969.692382812,968.741149902,967.921081543,967.035705566,966.15802002,965.223266602,964.409790039,963.573547363,962.946105957,962.107177734,961.248413086,960.624816895,959.711608887,958.807678223,957.893737793,956.981689453,956.099975586,955.226806641,954.169250488,953.297973633,952.616088867,951.630004883,950.838867188,949.925476074,949.048156738,948.204040527,947.335998535,946.463928223,945.786743164,944.973937988,944.010498047,943.184509277,942.172058105,941.269104004,940.227539062,939.120300293,938.040161133,937.24029541,936.311767578,935.51574707,934.580932617,933.652526855,932.787231445,931.91595459,931.072875977,946.819824219,946.014831543,945.200927734,944.679931641,943.793518066,942.873535156,941.903442383,940.884216309,939.903442383,938.936035156,937.928405762,937.021911621,936.125183105,935.071533203,934.18347168,933.161010742,932.118713379,931.409301758,930.719055176,929.878173828,929.215942383,928.386474609,927.332702637,926.563842773,925.427734375,924.448303223,923.620239258,922.625427246,921.529724121,920.650817871,919.593811035,918.719299316,"bush1","102","#97D938"
1003.0,1003.0,1002.07141113,1001.04187012,1000.13470459,999.12713623,998.023986816,997.038391113,995.908935547,994.986328125,994.025878906,993.054443359,992.220275879,991.500061035,990.664916992,989.83984375,988.946655273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bush1","18","#97D938"
969.0,969.0,968.077026367,967.076782227,966.195678711,965.22052002,964.128479004,963.180236816,962.079101562,961.176269531,960.305664062,959.361572266,958.613342285,957.876403809,957.043334961,956.248840332,955.401306152,954.373962402,953.438903809,952.37298584,951.385070801,950.417114258,949.439331055,948.550292969,947.676696777,946.712524414,945.90612793,945.036865234,944.171813965,943.205932617,942.363525391,941.524414062,940.86138916,940.067504883,939.227844238,938.59173584,937.692260742,936.728515625,935.824523926,934.919677734,934.015014648,933.184448242,932.12677002,931.219726562,930.519592285,929.52734375,928.753723145,927.887817383,927.004455566,926.178649902,925.297729492,924.394592285,923.812072754,922.953857422,921.951477051,921.12298584,920.172851562,919.207885742,918.194030762,917.069580078,916.020507812,915.244506836,914.294494629,913.438476562,912.54498291,911.522033691,910.699035645,909.91595459,900.213317871,870.429504395,869.690490723,868.830688477,868.208679199,867.32611084,866.397888184,865.312744141,864.336975098,863.348449707,862.364685059,861.311401367,860.368896484,859.47479248,858.346801758,857.413269043,856.422729492,855.320373535,854.590820312,853.856811523,852.988220215,852.285583496,851.411010742,850.330810547,849.567260742,848.358520508,847.325683594,846.446350098,845.53125,844.293334961,843.337585449,842.321350098,841.403503418,"bush1","102","#97D938"
261.0,261.0,260.685333252,260.191680908,259.870483398,259.495880127,258.993988037,258.693603516,258.140167236,257.848419189,257.602844238,257.256134033,257.066040039,256.942565918,256.696777344,256.491333008,256.252960205,255.821670532,255.452697754,255.013916016,254.610565186,254.20880127,253.865463257,253.48651123,253.192459106,252.831588745,252.644866943,252.403381348,252.136993408,251.792816162,251.615112305,251.324295044,251.290725708,251.128952026,250.856369019,250.754974365,250.492660522,250.068908691,249.893447876,249.54888916,249.203643799,249.022521973,248.654434204,248.31892395,248.210525513,247.831008911,247.609298706,247.354888916,247.086593628,246.830566406,246.642791748,246.256011963,246.250015259,245.961410522,245.56288147,245.318099976,244.981948853,244.662689209,244.218139648,243.809585571,243.375991821,243.194000244,242.976928711,242.677230835,242.391494751,241.99798584,241.739440918,241.596939087,241.347320557,241.222717285,241.071105957,240.78453064,240.793777466,240.479598999,240.196136475,239.856460571,239.450393677,239.069366455,238.782012939,238.361495972,238.065292358,237.828292847,237.369796753,237.058227539,236.685516357,236.259124756,236.133758545,235.959365845,235.687957764,235.67578125,235.442459106,234.941421509,234.735061646,234.240036011,233.847366333,233.573730469,233.161865234,232.705566406,232.424972534,231.99671936,231.686950684,"tower","102","#B7B282"
1002.0,1002.0,1001.1114502,1000.08081055,999.181091309,998.18560791,997.096435547,996.15814209,995.065124512,994.170837402,993.307739258,992.352050781,991.634460449,990.919006348,990.098327637,989.315429688,988.481445312,987.408630371,986.495117188,985.429870605,984.4609375,983.473754883,982.574279785,981.647216797,980.764831543,979.815856934,979.027587891,978.188537598,977.274597168,976.342895508,975.577087402,974.731323242,974.091247559,973.250732422,972.411315918,971.777954102,970.885192871,969.996826172,969.075500488,968.173400879,967.26965332,966.427001953,965.347106934,964.493530273,963.791625977,962.808837891,962.006164551,961.121765137,960.25,959.430236816,958.609924316,957.758789062,957.016296387,956.215820312,955.269226074,954.406677246,953.43548584,952.546813965,951.504760742,950.405883789,949.308227539,948.579223633,947.647094727,946.829345703,945.888122559,944.929870605,944.049926758,943.22052002,942.446594238,955.671630859,954.897094727,954.042358398,953.49230957,952.639831543,951.729553223,950.775146484,949.739379883,948.770507812,947.821594238,946.814086914,945.920288086,945.02557373,943.975036621,943.083496094,942.0546875,941.014038086,940.263366699,939.558532715,938.720092773,938.059326172,937.212219238,936.156921387,935.327392578,934.243835449,933.254211426,932.36505127,931.395690918,930.28527832,929.401611328,928.349304199,927.445495605,"bush1","102","#97D938"
1019.0,1019.0,1018.10211182,1017.06542969,1016.16033936,1015.18884277,1014.0904541,1013.16387939,1012.0512085,1011.16363525,1010.27575684,1009.34899902,1008.65167236,1007.89367676,1007.04541016,1006.24530029,1005.38043213,1004.33258057,1003.39788818,1002.3170166,1001.34283447,1000.36682129,999.414123535,998.496826172,997.653503418,996.667175293,995.925109863,995.075256348,994.154052734,993.199157715,992.414367676,991.58215332,990.947265625,990.10357666,989.233398438,988.585449219,987.719055176,986.751037598,985.906982422,984.936889648,984.006835938,983.15423584,982.122436523,981.207763672,980.510009766,979.521240234,978.742675781,977.85333252,976.92401123,976.086364746,975.240844727,974.369934082,973.802856445,972.922790527,971.942016602,971.076782227,970.10949707,969.159973145,968.140563965,967.0625,966.020446777,965.19152832,964.27142334,963.351196289,962.454833984,961.407348633,960.621154785,959.839599609,942.252197266,964.450561523,963.728149414,962.896179199,962.279418945,961.37286377,960.460510254,959.499206543,958.456115723,957.485961914,956.495178223,955.454101562,954.58380127,953.696716309,952.621032715,951.715698242,950.671875,949.622558594,948.893859863,948.095214844,947.22467041,946.671386719,945.799377441,944.726013184,943.891113281,942.774719238,941.768127441,940.865661621,939.855285645,938.783325195,937.842590332,936.800231934,935.888366699,"bush1","102","#97D938"
857.0,857.0,856.144592285,855.19140625,854.314758301,853.382263184,852.350830078,851.428649902,850.322265625,849.518920898,848.706298828,847.773132324,847.039123535,846.279541016,845.570495605,844.822875977,843.98651123,846.274047852,845.352539062,844.307678223,843.359741211,842.44128418,841.558288574,840.740905762,839.884765625,838.924804688,838.168762207,837.391906738,836.538330078,835.65045166,834.879455566,833.956420898,833.341247559,832.642211914,831.812683105,831.163024902,830.311889648,829.332763672,828.507263184,827.524291992,826.698730469,825.862426758,824.851623535,824.091552734,823.370605469,822.398742676,821.618591309,820.680297852,819.789306641,818.976379395,818.241882324,817.34942627,816.832824707,815.920288086,814.990722656,814.179382324,813.214660645,812.280456543,811.267272949,810.168334961,809.183837891,808.350280762,807.497070312,806.628234863,805.746887207,804.751953125,803.90814209,803.137207031,802.29510498,865.503662109,864.71496582,863.878662109,863.260253906,862.373962402,861.436096191,860.328674316,859.342651367,858.360473633,857.36340332,856.306518555,855.361877441,854.447143555,853.325500488,852.38873291,851.372741699,850.26965332,849.512207031,848.816223145,847.941467285,847.232421875,846.324890137,845.264038086,844.463256836,843.255493164,842.232666016,841.327758789,840.379333496,839.187011719,838.204528809,837.190063477,836.243652344,"bush1","102","#97D938"
979.0,979.0,977.991699219,976.92980957,975.933654785,974.845336914,973.63482666,972.54284668,971.290527344,970.257080078,969.204528809,968.121948242,967.155029297,966.411804199,965.506225586,964.663757324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bush1","17","#97D938"
