"y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","feature","no_nas","color"
480.0,480.0,480.164031982,480.573516846,480.939544678,481.259887695,481.644134521,481.867706299,481.928741455,482.15447998,482.237609863,482.505554199,482.802215576,482.769927979,482.881164551,483.047698975,483.261932373,483.445220947,483.740997314,483.893707275,484.194671631,484.323883057,484.466827393,484.864746094,485.039276123,485.236755371,485.628723145,485.746063232,485.942932129,486.138793945,486.235809326,486.482635498,486.704162598,486.757415771,487.015960693,487.078186035,487.261535645,487.503051758,487.661376953,487.703186035,487.93270874,487.900146484,488.021362305,488.198577881,488.209381104,488.371520996,488.608734131,488.617523193,488.773712158,489.060119629,489.153503418,489.225219727,489.367462158,489.49911499,489.89364624,490.16519165,490.395843506,490.550140381,490.549468994,490.574157715,490.725463867,490.626098633,490.511169434,490.520019531,490.467803955,490.485839844,490.598999023,490.723327637,490.721374512,490.998931885,491.25894165,491.565490723,491.750335693,492.071685791,492.239807129,492.306274414,492.498809814,492.531158447,492.311706543,492.197143555,492.381256104,492.439544678,492.53994751,492.850952148,492.667236328,492.625946045,492.619812012,492.735717773,492.693939209,492.62689209,492.542144775,492.928222656,492.97265625,493.159240723,493.361968994,493.239257812,493.434356689,493.536682129,493.460723877,493.610473633,493.884338379,"cable3","102","#4F5150"
465.0,465.0,465.220825195,465.691619873,466.011199951,466.254760742,466.603942871,466.753448486,466.717071533,466.911102295,466.907073975,467.098999023,467.338287354,467.207855225,467.238586426,467.311279297,467.463439941,467.573547363,467.768310547,467.835296631,468.085693359,468.189422607,468.233734131,468.607269287,468.675323486,468.761199951,469.001159668,468.971374512,469.047485352,469.05078125,468.963867188,469.018157959,468.979705811,468.782073975,468.747131348,468.512268066,468.306884766,468.243438721,468.065826416,467.832214355,467.822387695,467.503753662,467.315246582,467.194671631,467.012908936,466.853485107,466.814575195,466.468963623,466.284667969,466.28894043,466.048828125,465.881439209,465.778778076,465.622833252,465.73815918,465.832580566,465.799987793,465.686096191,465.417877197,465.123046875,465.113739014,464.880279541,464.285736084,464.149780273,463.726654053,463.424621582,463.345275879,463.052520752,462.705657959,463.359405518,463.271453857,463.397003174,463.218383789,463.078735352,462.921569824,462.459716797,462.431335449,462.31628418,461.902557373,461.46673584,461.508666992,461.270996094,461.190551758,461.20010376,460.784454346,460.510864258,460.2293396,459.991729736,459.713500977,459.324676514,459.151763916,459.347839355,459.320220947,459.325195312,459.459197998,459.139556885,459.004333496,458.915283203,458.714569092,458.472442627,458.495666504,"cable2","102","#353636"
578.0,578.0,578.104797363,578.277587891,578.578857422,578.873901367,579.059265137,579.274658203,579.32232666,579.589233398,579.661743164,579.861083984,580.104248047,580.071899414,580.098571777,580.231567383,580.572753906,580.736450195,580.957885742,581.101318359,581.298461914,581.37286377,581.404968262,581.718933105,581.871582031,581.994384766,582.331848145,582.475097656,582.727844238,582.987915039,583.157043457,583.356994629,583.596984863,583.828918457,583.972412109,584.005981445,584.23614502,584.466186523,584.570983887,584.722167969,584.897888184,584.985595703,585.195861816,585.348144531,585.441345215,585.695922852,585.948425293,586.109680176,586.234985352,586.561096191,586.696716309,586.597473145,586.890991211,586.880126953,587.183288574,587.492675781,587.830627441,587.965332031,588.049743652,588.094360352,588.343933105,588.413391113,588.424133301,588.503723145,588.605712891,588.740112305,588.772338867,588.981567383,588.972717285,596.609008789,596.805725098,596.999511719,597.084838867,597.39263916,597.683288574,597.749816895,597.962280273,597.98840332,597.846435547,597.81463623,597.962341309,597.976867676,598.117431641,598.365844727,598.209655762,598.17175293,598.108032227,598.119140625,598.051452637,597.947998047,597.907592773,598.163330078,598.184448242,598.336669922,598.508911133,598.33605957,598.567077637,598.662414551,598.595825195,598.778442383,598.976318359,"bush1","102","#97D938"
621.0,621.0,621.108642578,621.280151367,621.597961426,621.896057129,622.073242188,622.312133789,622.347900391,622.619445801,622.739501953,622.924438477,623.151794434,623.120483398,623.154418945,623.346923828,623.720825195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bush1","18","#97D938"
597.0,597.0,597.080078125,597.254089355,597.564208984,597.851257324,598.051818848,598.315246582,598.344970703,598.602661133,598.659057617,598.816589355,599.069458008,599.054199219,599.093688965,599.236694336,599.589172363,599.732788086,599.936279297,600.108337402,600.285583496,600.378601074,600.447937012,600.783508301,600.895935059,600.988647461,601.315856934,601.546142578,601.66192627,601.989807129,602.159912109,602.360107422,602.621643066,602.825805664,602.905822754,602.98425293,603.216064453,603.454345703,603.66192627,603.819274902,603.951171875,603.95123291,604.156799316,604.348449707,604.395935059,604.697692871,604.947753906,605.072570801,605.168518066,605.446105957,605.605651855,605.736755371,605.829162598,605.884887695,606.248596191,606.497680664,606.778625488,606.968017578,607.034729004,607.121520996,607.408325195,607.410461426,607.423828125,607.536254883,607.568603516,607.676269531,607.787719727,607.917724609,601.206115723,639.042480469,639.226928711,639.496398926,639.641357422,639.964416504,640.187744141,640.234069824,640.49029541,640.549804688,640.375427246,640.307434082,640.468444824,640.507751465,640.70501709,640.944641113,640.813049316,640.781738281,640.745849609,640.768676758,640.689025879,640.573120117,640.534484863,640.838745117,640.895812988,641.039611816,641.161743164,641.021911621,641.22088623,641.311828613,641.290893555,641.395935059,641.721679688,"bush1","102","#97D938"
380.0,380.0,380.072601318,380.352264404,380.645080566,380.992126465,381.210479736,381.448883057,381.471923828,381.660919189,381.643768311,381.906951904,382.095184326,382.018737793,382.076385498,382.198791504,382.386322021,382.524932861,382.733459473,382.826080322,383.091094971,383.229919434,383.379058838,383.71697998,383.878448486,384.015808105,384.387786865,384.450286865,384.659515381,384.750946045,384.859039307,385.004333496,385.249206543,385.244049072,385.456878662,385.545135498,385.763061523,385.906036377,386.005889893,386.07434082,386.272949219,386.219818115,386.442382812,386.559082031,386.514282227,386.755462646,386.903320312,386.935852051,387.084747314,387.326904297,387.461761475,387.43536377,387.679718018,387.71762085,388.175231934,388.417938232,388.683990479,388.846282959,388.851928711,388.925292969,388.969726562,388.867095947,388.778930664,388.834503174,388.682525635,388.773132324,388.838256836,389.014221191,389.01550293,389.327453613,389.582000732,389.90020752,390.081481934,390.410675049,390.624389648,390.711914062,390.876342773,390.923339844,390.752410889,390.557189941,390.70401001,390.776306152,390.929199219,391.152374268,390.944793701,390.965820312,390.999420166,391.039581299,391.011047363,390.96005249,390.976287842,391.225189209,391.340484619,391.519866943,391.756561279,391.632537842,391.776367188,391.839691162,391.908813477,391.893127441,392.214752197,"tower","102","#B7B282"
576.0,576.0,576.112731934,576.291503906,576.595947266,576.883483887,577.064453125,577.301269531,577.340454102,577.61541748,577.710388184,577.882324219,578.116149902,578.081604004,578.105712891,578.261352539,578.612609863,578.770996094,578.981262207,579.133605957,579.313598633,579.401062012,579.403198242,579.731628418,579.87878418,580.012023926,580.350158691,580.519348145,580.75769043,581.005493164,581.116394043,581.338989258,581.531921387,581.80291748,581.95324707,581.99041748,582.21295166,582.433959961,582.578491211,582.710205078,582.921081543,582.958251953,583.163635254,583.37310791,583.435546875,583.72277832,583.939819336,584.087768555,584.25177002,584.624328613,584.737609863,584.65826416,584.885192871,584.913635254,585.197875977,585.54498291,585.850891113,585.999206543,586.057495117,586.135131836,586.384216309,586.475280762,586.432312012,586.541564941,586.641967773,586.741760254,586.850524902,586.997253418,587.003417969,608.158325195,608.346679688,608.613464355,608.719177246,609.00592041,609.215393066,609.280578613,609.55645752,609.604919434,609.411010742,609.344604492,609.523803711,609.582275391,609.763366699,609.962768555,609.848754883,609.81048584,609.751708984,609.76159668,609.66217041,609.532226562,609.461425781,609.787841797,609.821166992,609.962402344,610.083374023,609.947692871,610.09954834,610.17364502,610.138244629,610.269287109,610.53729248,"bush1","102","#97D938"
590.0,590.0,590.098510742,590.272827148,590.55657959,590.878173828,591.046447754,591.264343262,591.297180176,591.564208984,591.683288574,591.881896973,592.082763672,592.052368164,592.087097168,592.222595215,592.600524902,592.745910645,592.955993652,593.128234863,593.298156738,593.394714355,593.418823242,593.720031738,593.885253906,593.999267578,594.34576416,594.54876709,594.809326172,595.021972656,595.159484863,595.420349121,595.668701172,595.83996582,595.982177734,596.03692627,596.249816895,596.514465332,596.727905273,596.808105469,597.011962891,597.031311035,597.252197266,597.453063965,597.525634766,597.790466309,598.017089844,598.118103027,598.307556152,598.668273926,598.802185059,598.772399902,598.955871582,598.962341309,599.249755859,599.603393555,599.872070312,600.024108887,600.084106445,600.192749023,600.428710938,600.509521484,600.485839844,600.621582031,600.721252441,600.836486816,600.916687012,601.085632324,594.61126709,624.448181152,624.708007812,624.895019531,624.998352051,625.277954102,625.573181152,625.649902344,625.873779297,625.906616211,625.77532959,625.717346191,625.852722168,625.894104004,626.038452148,626.246398926,626.117919922,626.083740234,626.035766602,626.054504395,625.975097656,625.871337891,625.839294434,626.072814941,626.103271484,626.260192871,626.391967773,626.238464355,626.456298828,626.539550781,626.488586426,626.673522949,626.902832031,"bush1","102","#97D938"
633.0,633.0,633.16595459,633.317260742,633.660339355,633.958251953,634.129821777,634.356811523,634.432128906,634.686767578,634.78717041,634.950073242,635.19152832,635.124328613,635.122924805,635.268554688,635.604431152,639.423339844,639.734375,639.89453125,640.098083496,640.182189941,640.213928223,640.440368652,640.667053223,640.809936523,641.123168945,641.193359375,641.455688477,641.731445312,641.862670898,642.115722656,642.26953125,642.40447998,642.618103027,642.656066895,642.885375977,643.166564941,643.376953125,643.529846191,643.782348633,643.831848145,643.990661621,643.99810791,644.031860352,644.257202148,644.629150391,644.817626953,645.000244141,645.306396484,645.378173828,645.436950684,645.523803711,645.679077148,645.953125,646.170776367,646.508178711,646.669372559,646.746520996,646.879516602,647.039611816,647.094482422,647.067260742,647.108947754,647.128601074,647.226257324,647.318664551,647.491088867,647.45892334,643.666625977,643.85723877,644.077758789,644.177856445,644.558105469,644.816711426,644.863647461,645.07043457,645.105224609,644.981384277,644.923156738,645.04699707,645.086486816,645.239929199,645.53503418,645.348632812,645.313415527,645.278259277,645.289245605,645.211425781,645.114990234,645.08984375,645.377075195,645.444519043,645.644287109,645.788818359,645.646911621,645.83972168,645.928344727,645.909118652,645.994018555,646.242919922,"bush1","102","#97D938"
677.0,677.0,677.115234375,677.263305664,677.69342041,677.938049316,678.101318359,678.389648438,678.46282959,678.709777832,678.784423828,678.911071777,679.134338379,679.117553711,679.193237305,679.376403809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bush1","17","#97D938"
